GO:0003723	Protein ROOT PRIMORDIUM DEFECTIVE 1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold360G00230 PE=4 SV=1
GO:0016602	CBFD_NFYB_HMF domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_3G049440 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0000779	condensin-2 complex subunit D3 OS=Cucumis melo OX=3656 GN=LOC103497846 PE=4 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G001320 PE=4 SV=1
GO:0016020	Cytochrome P450 71A1-like isoform X1 OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold80G001200 PE=3 SV=1
GO:0005789	FA_desaturase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G227450 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G814320 PE=3 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_7G387770 PE=4 SV=1
GO:0022627	40S ribosomal protein S14-2-like OS=Cucurbita maxima OX=3661 GN=LOC111495605 PE=3 SV=1
GO:0005524	ABC transporter domain-containing protein (Fragment) OS=Nymphaea colorata OX=210225 GN=NYM_LOCUS53 PE=4 SV=1
GO:0005576	Peroxidase OS=Cucumis sativus OX=3659 GN=Csa_7G419560 PE=3 SV=1
GO:0005774	V-type proton ATPase proteolipid subunit OS=Papaver somniferum OX=3469 GN=C5167_010269 PE=3 SV=1
GO:0022625	Ribosomal protein L15 OS=Cucumis sativus OX=3659 GN=Csa_3G112770 PE=3 SV=1
GO:0005576	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_6G511800 PE=3 SV=1
GO:0005634	LOW QUALITY PROTEIN: protein ENHANCED DOWNY MILDEW 2 OS=Cucumis melo OX=3656 GN=LOC103490112 PE=4 SV=1
GO:0000228	meiotic recombination protein SPO11-1 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103501238 PE=3 SV=1
GO:0071555	LRRNT_2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G006180 PE=4 SV=1
GO:0022627	40S ribosomal protein S16-like OS=Cucurbita maxima OX=3661 GN=LOC111481879 PE=3 SV=1
GO:0000145	Exocyst subunit Exo70 family protein OS=Cucumis melo OX=3656 GN=LOC103500934 PE=3 SV=1
GO:0005886	Protein UPSTREAM OF FLC OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold494G00080 PE=3 SV=1
GO:0009987	Phytosulfokine-beta OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold501G001000 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0000786	Histone H4 OS=Setaria italica OX=4555 GN=101768337 PE=3 SV=1
GO:0005829	Tr-type G domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G176410 PE=3 SV=1
GO:0004471	Malic enzyme OS=Cucumis melo OX=3656 GN=LOC103499065 PE=3 SV=1
GO:0005634	Ribonuclease H OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G004020 PE=4 SV=1
GO:0008234	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_5G065650 PE=4 SV=1
GO:0016020	RING-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_7G387140 PE=4 SV=1
GO:0016020	ABC transporter G family member 39-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold352G003640 PE=3 SV=1
GO:0004650	Exopolygalacturonase-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold5G00460 PE=3 SV=1
GO:0009733	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_7G008980 PE=3 SV=1
GO:0008270	Ulp1-like peptidase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold108G001080 PE=4 SV=1
GO:0016020	G-type lectin S-receptor-like serine/threonine-protein kinase OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc32491 PE=4 SV=1
GO:0004650	FAR1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_7G375750 PE=3 SV=1
GO:0046910	PMEI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G307340 PE=4 SV=1
GO:0016020	cytochrome P450 71A1-like OS=Momordica charantia OX=3673 GN=LOC111008616 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_5G592790 PE=4 SV=1
GO:0005634	GTP-binding nuclear protein OS=Cucumis sativus OX=3659 GN=Csa_1G304710 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_7G069440 PE=4 SV=1
GO:0004650	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G689640 PE=3 SV=1
GO:0009733	Auxin-responsive protein SAUR23-like OS=Gossypium australe OX=47621 GN=EPI10_004543 PE=3 SV=1
GO:0005743	mitochondrial import inner membrane translocase subunit TIM44-2-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103504598 PE=3 SV=1
GO:0043231	pentatricopeptide repeat-containing protein At4g35130, chloroplastic OS=Cucumis melo OX=3656 GN=LOC103497256 PE=4 SV=1
GO:0005576	Ribonuclease T(2) OS=Cucumis sativus OX=3659 GN=Csa_3G745530 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase homolog OS=Cucurbita maxima OX=3661 GN=LOC111472466 PE=4 SV=1
GO:0004497	7-ethoxycoumarin O-deethylase-like OS=Cucumis melo OX=3656 GN=LOC103482655 PE=3 SV=1
GO:0000148	1,3-beta-glucan synthase OS=Cucumis melo OX=3656 GN=LOC103499639 PE=3 SV=1
GO:0016020	TIR domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G075330 PE=4 SV=1
GO:0006952	Bet_v_1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_5G049525 PE=3 SV=1
GO:0005743	mitochondrial import inner membrane translocase subunit TIM44-2-like isoform X2 OS=Cucumis melo OX=3656 GN=LOC103504598 PE=3 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G217140 PE=4 SV=1
GO:0005615	ervatamin-B-like OS=Cucumis melo OX=3656 GN=LOC103494879 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase-like protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold306G001320 PE=4 SV=1
GO:0031966	Mitochondrial protein YMF19 OS=Cucumis sativus OX=3659 GN=atp8 PE=3 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0043232	ULP_PROTEASE domain-containing protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold110G00080 PE=3 SV=1
GO:0005634	Ubiquitin OS=Solanum chilense OX=4083 GN=EJD97_022400 PE=3 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_4G303680 PE=3 SV=1
GO:0005737	tRNA (Guanine(10)-N2)-methyltransferase homolog OS=Cucumis melo OX=3656 GN=LOC103489693 PE=4 SV=1
GO:0110165	serine/threonine-protein kinase STY46-like isoform X3 OS=Cucumis melo OX=3656 GN=LOC103503850 PE=4 SV=1
GO:0010073	serine/threonine-protein phosphatase 7 long form homolog isoform X2 OS=Cucumis melo OX=3656 GN=LOC103498663 PE=4 SV=1
GO:0004471	Malic enzyme OS=Cucumis melo OX=3656 GN=LOC103499065 PE=3 SV=1
GO:0009536	Ribosomal protein L17 OS=Cucumis sativus OX=3659 GN=Csa_2G171870 PE=3 SV=1
GO:0004470	Malic enzyme OS=Salix brachista OX=2182728 GN=DKX38_002955 PE=3 SV=1
GO:0005576	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_3G426350 PE=3 SV=1
GO:0000139	Post-GPI attachment to proteins factor 3 OS=Cucumis sativus OX=3659 GN=Csa_3G180250 PE=3 SV=1
GO:0005737	Lipoxygenase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold206G00180 PE=3 SV=1
GO:0000786	Histone H2B OS=Cucumis sativus OX=3659 GN=Csa_1G132130 PE=3 SV=1
GO:0003676	Beta-galactosidase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold1204G00470 PE=4 SV=1
GO:0022627	40S ribosomal protein S23 OS=Capsicum chinense OX=80379 GN=BC332_25961 PE=3 SV=1
GO:0004869	LOB domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_6G525240 PE=3 SV=1
GO:0005754	ATP synthase subunit alpha OS=Cucumis sativus OX=3659 GN=atp1 PE=3 SV=1
GO:0005634	uncharacterized protein LOC103492405 OS=Cucumis melo OX=3656 GN=LOC103492405 PE=4 SV=1
GO:0005634	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0005737	Phenylalanine ammonia-lyase OS=Cucumis sativus OX=3659 GN=PAL PE=2 SV=1
GO:0032580	UDP-glucuronate decarboxylase OS=Cucumis melo OX=3656 GN=LOC103497844 PE=3 SV=1
GO:0004180	lysosomal Pro-X carboxypeptidase-like OS=Cucurbita moschata OX=3662 GN=LOC111444394 PE=3 SV=1
GO:0015935	uncharacterized protein LOC111438394 OS=Cucurbita moschata OX=3662 GN=LOC111438394 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G605640 PE=4 SV=1
GO:0046910	PMEI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G034700 PE=4 SV=1
GO:0005840	60S ribosomal protein L37a OS=Nicotiana sylvestris OX=4096 GN=LOC104239566 PE=3 SV=1
GO:0005886	Potassium transporter OS=Cucumis sativus OX=3659 GN=Csa_3G835810 PE=3 SV=1
GO:0031176	GH10 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_5G240140 PE=3 SV=1
GO:0051082	SHSP domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_5G190530 PE=3 SV=1
GO:0009522	Chlorophyll a-b binding protein, chloroplastic OS=Cucumis sativus OX=3659 GN=Csa_1G445860 PE=3 SV=1
GO:0005634	ATP-dependent clp protease OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold350G00100 PE=3 SV=1
GO:0005576	Carboxypeptidase OS=Cucumis sativus OX=3659 GN=Csa_4G008800 PE=3 SV=1
GO:0005952	Protein-serine/threonine phosphatase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold403G00620 PE=3 SV=1
GO:0008194	Glycosyltransferase OS=Cucumis sativus OX=3659 GN=Csa_4G279810 PE=3 SV=1
GO:0006952	MLP-like protein 329 OS=Cucumis melo OX=3656 GN=LOC103491919 PE=3 SV=1
GO:0012505	cation/H(+) antiporter 4-like OS=Cucumis melo OX=3656 GN=LOC103483015 PE=4 SV=1
GO:0005847	RRM domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_7G104800 PE=4 SV=1
GO:0016706	Putative 2-oxoglutarate-dependent dioxygenase AOP1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold248G002910 PE=3 SV=1
GO:0004797	Thymidine kinase OS=Cucumis sativus OX=3659 GN=Csa_1G181480 PE=3 SV=1
GO:0009570	Uncharacterized protein OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold96G002490 PE=3 SV=1
GO:0016020	deSI-like protein At4g17486 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103489609 PE=3 SV=1
GO:0005739	DNA topoisomerase 2-binding protein 1 isoform X3 OS=Cucumis melo OX=3656 GN=LOC103487611 PE=4 SV=1
GO:0000786	Histone H3 OS=Trichinella nelsoni OX=6336 GN=T07_6184 PE=3 SV=1
GO:0005886	UNC93-like protein 3 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold352G001810 PE=3 SV=1
GO:0016020	ABC transporter B family member 1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold352G002720 PE=4 SV=1
GO:0005739	insulin-degrading enzyme-like 1, peroxisomal isoform X1 OS=Cucumis melo OX=3656 GN=LOC103486819 PE=3 SV=1
GO:0000148	1,3-beta-glucan synthase OS=Cucumis melo OX=3656 GN=LOC103499639 PE=3 SV=1
GO:0005576	Pectinesterase OS=Cucumis sativus OX=3659 GN=Csa_4G260430 PE=4 SV=1
GO:0016020	Sugar transport protein 10-like OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold65G00620 PE=3 SV=1
GO:0051082	SHSP domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_5G197100 PE=3 SV=1
GO:0005847	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_5G587170 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_5G630200 PE=4 SV=1
GO:0005802	Cellulose synthase OS=Cucumis melo OX=3656 GN=LOC103501322 PE=3 SV=1
GO:0005829	ATP citrate synthase OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold46G00370 PE=4 SV=1
GO:0005886	Wall-associated receptor kinase 2-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold481G00020 PE=4 SV=1
GO:0009536	Uncharacterized protein OS=Oryza punctata OX=4537 PE=3 SV=1
GO:0016020	probable long-chain-alcohol O-fatty-acyltransferase 5 OS=Cucumis melo OX=3656 GN=LOC103490376 PE=3 SV=1
GO:0019538	HECT-type E3 ubiquitin transferase OS=Cucumis melo OX=3656 GN=LOC103497770 PE=4 SV=1
GO:0016020	Protein DETOXIFICATION OS=Cucumis sativus OX=3659 GN=Csa_1G003490 PE=3 SV=1
GO:0016020	uncharacterized protein LOC111008790 OS=Momordica charantia OX=3673 GN=LOC111008790 PE=4 SV=1
GO:0005634	Ubiquitin-like domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G126050 PE=4 SV=1
GO:0016020	E3 ubiquitin-protein ligase ATL42-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold403G00780 PE=4 SV=1
GO:0016020	E3 ubiquitin-protein ligase ATL42-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold403G00770 PE=4 SV=1
GO:0022627	40S ribosomal protein S15a-1 OS=Cucumis melo OX=3656 GN=LOC103503055 PE=3 SV=1
GO:0016787	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G600200 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G614120 PE=4 SV=1
GO:0003735	60S ribosomal protein L13a-4 OS=Cucumis melo OX=3656 GN=LOC103496971 PE=3 SV=1
GO:0005634	Serine/threonine-protein phosphatase OS=Cucumis sativus OX=3659 GN=Csa_6G426880 PE=3 SV=1
GO:0005737	Lipoxygenase OS=Cucumis sativus OX=3659 PE=2 SV=1
GO:0005737	Actin-related protein 2/3 complex subunit 4 OS=Cucumis sativus OX=3659 GN=Csa_2G120960 PE=3 SV=1
GO:0008825	Amino_oxidase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G171940 PE=4 SV=1
GO:0005829	Tryptophan synthase OS=Cucumis sativus OX=3659 GN=Csa_2G225330 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G371110 PE=3 SV=1
GO:0005730	Putative ribosome biogenesis protein RLP24 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold242G00400 PE=3 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G408390 PE=4 SV=1
GO:0022627	40S ribosomal protein S21 OS=Cucumis melo OX=3656 GN=LOC103483842 PE=3 SV=1
GO:0005634	UBC core domain-containing protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_D01776 PE=3 SV=1
GO:0005634	CDT1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_3G394670 PE=3 SV=1
GO:0016020	Laccase OS=Cucumis sativus OX=3659 GN=Csa_3G732490 PE=3 SV=1
